SWMN-01,Św. Marcin,A|T|N,52.4072886719,16.9184195995
MRCI-01,Marcinkowskiego,A|T|N,52.4061629062,16.9284832478
MRCI-92,Marcinkowskiego,A|T|N,52.4073475774,16.9289928675
PLWO-91,Plac Wolności,A|T|N,52.4079693535,16.9257581234
RKAP-05,Rondo Kaponiera,A|N,52.40833587,16.9128137827
DWGL-22,Dworzec Główny,A|N,52.4030799937,16.9119501114
BALT-21,Bałtyk,A|N,52.4069745076,16.9120359421
SZPI-21,Szpitalna,A|N,52.4111108249,16.8786048889
PLL-21,Lotnisko Ławica,A|N,52.4146447127,16.8285655975
PLL-22,Lotnisko Ławica,A|N,52.4146578006,16.8284153938
SZPI-22,Szpitalna,A|N,52.4110322908,16.8775749207
BALT-22,Bałtyk,A,52.4079628085,16.9095790386
DWGL-21,Dworzec Główny,A|N,52.4030472652,16.9120144844
RKAP-22,Rondo Kaponiera,A|N,52.4084471334,16.913216114
MT-21,Most Teatralny,A|N,52.4113071594,16.9141387939
WIKA-21,Wielkopolska,A|N,52.4155150527,16.9184625149
ARPO-21,Armii Poznań,A|N,52.4214433781,16.922904253
SLKA-24,Słowiańska,A|N,52.4270568853,16.921005249
OZIM-22,Ozimina,A|N,52.4287054718,16.9263374805
OPRZ-22,Os. Przyjaźni,A|N,52.4306876193,16.9315838814
OPL-24,Os. Pod Lipami,A,52.4305894953,16.9355964661
MURA-21,Murawa,A,52.4274003459,16.9357895851
MURA-22,Murawa,A,52.4312011314,16.9367873669
OPL-22,Os. Pod Lipami,A|N,52.4309165745,16.9346898794
OPRZ-21,Os. Przyjaźni,A|N,52.4305927661,16.9299584627
OZIM-21,Ozimina,A|N,52.4284078149,16.9254040718
SLKA-22,Słowiańska,A|N,52.4264124805,16.9200825691
URBA-21,Urbanowska,A|N,52.4219569979,16.9196695089
PRNZ-22,Przepadek n/ż,A|N,52.4190093277,16.9234728813
POLO-22,Polonez,A|N,52.4154888773,16.9264340401
LIBE-22,Libelta,A|N,52.4132442799,16.9204258919
ZAME-22,Zamek,A,52.4087416526,16.9178509712
RKAP-21,Rondo Kaponiera,A|N,52.4088790943,16.9125723839
SZYL-21,Szylinga,A|N,52.4080348031,16.900523901
POLN-21,Polna/Szpital,A|N,52.4092194241,16.8920588493
GROD-21,Grodziska,A|N,52.4101029605,16.8852782249
SWOB-21,Swoboda,A,52.4117521811,16.873819828
BUNZ-21,Bukowska n/ż,A,52.4123280849,16.8679404259
JASN-21,Jasna,A|N,52.4120270452,16.8637132645
ZGOR-21,Zgorzelecka,A|N,52.4120532226,16.8581020832
LESK-21,Leśnych Skrzatów,A|N,52.412210287,16.8519866467
BASN-21,Baśniowa,A,52.4125505911,16.8442296982
KRSN-21,Królewny Śnieżki,A,52.4128516272,16.836386919
KRSN-22,Królewny Śnieżki,A,52.4126945652,16.837105751
BASN-22,Baśniowa,A,52.4123542621,16.8438434601
