Rynek
"Boya" Żeleńskiego
"Grota" Roweckiego
23 Lutego
27 Grudnia
28 Czerwca 1956 r.
3 Maja
5 Stycznia
Abrahama
Adamanisa
Admiralska
Agrestowa
Ajdukiewicza
Ajschylosa
Akacjowa
Albańska
Altanowa
Altera
Ametystowa
Ananasowa
pl. Andersa
Andersena
Andrychowska
Andrzejewskiego
Anyżowa
Architektów
Arciszewskiego
Arcta
Arkońska
os. Armii Krajowej
Armii Ludowej
al. Armii Poznań
Aroniowa
Arystofanesa
pl. Asnyka
Astrowa
Augustowska
Azaliowa
Babimojska
Baczyńskiego
Bajana
os. Bajkowe
Balickiego
Ballenstaedta
Balonowa
Barana
Baraniaka
Baranowska
Barcińska
Barlinecka
Bartnicza
Bartoszycka
Barwicka
Barzyńskiego
Bastionowa
Batalionów Chłopskich
os. Batorego
Bałtycka
Baśniowa
Bednarska
Begoniowa
Belwederska
Berestecka
Bergera
pl. Bernardyński
Berwińskiego
Beskidzka
Bełchatowska
Bełzy
Biała
Białczańska
Białogardzka
Białostocka
Białośliwska
Biedrzyckiego
Biegańskiego
Bielska
Bieszczady
Billewiczówny
Biskupińska
Biwakowa
Blacharska
Bliźniąt
Bluszczowa
Bnińska
Bobrownicka
Bobrzańska
Bociania
Boczowska
Bodawska
Bogusza
Bogusławskiego
os. Bohaterów II Wojny Światowej
Bohaterów Westerplatte
Bohuszewiczówny
Bojanowska
Bojerowa
os. Bolesława Chrobrego
Bolesława Krzywoustego
os. Bolesława Śmiałego
Bolesławy
Bolkowicka
Bonin
Boranta
Borowikowa
Borsucza
Boruty
Borówki
Bosa
Bosmańska
Botaniczna
Boya-Żeleńskiego
Bożeny
Bożydara
Bożymira
Bożywoja
Braille'a
Brandstaettera
Braniborska
Braniewska
Bratkowa
Bratumiły
Brodnicka
Bronowa
Brossa
Browarna
Bruzdowa
Brzask
Brzechwy
Brzeska
Brzeźnicka
Brzozowa
Buczka
Budziszyńska
Budzisława
Budzyńska
Bukowa
Bukowska
Bunina
Bunscha
Burszty
Burysława
Burzyńskiego
Buska
Butryma
Bułgarska
Byczyńska
Bydgoska
Bylicowa
Bystra
Bystrzycka
Bytomska
Bóżnicza
Bąka
Będlewska
Będzińska
Bławatkowa
Błażeja
Błotna
Błońska
Błękitna
Calliera
Cedrowa
Cegielskiego
Chabrowa
Chartowo
Charzykowska
Chemiczna
Chełmińska
Chełmońskiego
Chlebowa
Chmielna
Chmurna
Chochołowska
Chociebora
Chocimska
Chociszewskiego
Chodzieska
Chojnicka
Chopina
Chotomińska
Chryzantemowa
Chrzanowska
Chwaliszewo
Chwiałkowskiego
Chyżańska
Chłapowskiego
Chłodna
Cicha
Ciechocińska
Cienista
Cieplicka
Cieszkowskiego
Cieszymira
Cieszyńska
Cisowa
Cmentarna
Cybińska
Cybulskiego
Cymsa
Cyniowa
Cyprysowa
pl. Cyryla Ratajskiego
Cytrynowa
Czajcza
Czapla
Czaplinecka
Czarna Rola
Czarneckiego
Czarnieckiego
Czarnkowska
Czarnohorska
Czartoria
os. Czecha
Czechosłowacka
Czechowska
Czekalskie
Czekanowskiego
Czempińska
Czeremchowa
Czereśniowa
Czernichowska
Czerniejewska
Czernika
Czerska
Czerwieńskiego
Czerwińskiego
Cześnikowska
Czorsztyńska
Czwartaków
Czysta
Częstochowska
Człopska
Człuchowska
Dabrowskiego
Daleka
Dalemińska
Daliowa
Danuty
Danysz
Darniowa
Darzyborska
Darzyńska
Darłowska
Daszewicka
Daszyńskiego
Dembowskiego
Dereniowa
Dmowskiego
Dniestrzańska
Dobiegniewska
Dobra
Dobrepole
Dobrochny
Dobrodzieńska
Dobrogojskiego
Dobromiejska
Dobromiły
Dobrowita
Dobrzyckiego
Dojazd
Dolina
Dolna
Dolna Wilda
Dolne Chyby
Domeyki
Dominikańska
Dożynkowa
Drewsa
Drobna
Drobnika
Droga Dębińska
Drogowców
Druskienicka
Druskiennicka
Drużbackiej
Drużbickiego
Drużynowa
Drwęskiego
Drzewieckiego
Drzymały
Dukielska
Dunajecka
Dunikowskiego
Duszna
Dwatory
Dworcowa
Dworkowa
Dworska
Dymka
Dziadoszańska
Działkowa
Działoszycka
Działowa
Działyńskich
os. Działyńskiego
Dzieci Wrzesińskich
Dziedzicka
Dziekańska
Dziewanny
Dziewińska
Dziurawcowa
Dzięgielowa
Dąbrówki
Dębicka
os. Dębina
Dęblińska
Dębowa
Długa
Długosza
Elbląska
Emilii Plater
Engestroma
Estkowskiego
Eurypidesa
Ewangelicka
Ezopa
Fabianowo
Fabianowska
Fabryczna
Falista
Faszynowa
Fedrusa
Filarecka
Filipińska
Fiołkowa
Firlika
Floksowa
Folwarczna
Forteczna
Franowo
Fredry
Fregatowa
Frezjowa
Fromborska
Gabszewicza
park Gagarina
Gajowa
Galileusza
Galla Anonima
Garaszewo
Garbary
Garczyńskiego
Gardowska
Garncarska
Garsteckiego
Gałczyńskiego
Gdańska
Gdyńska
Geodetów
