51,A,SODW-22|SZLI-22|SZYM-22|OSZY-22|WRTV-22|OJLY-22|OSCH-22|WOKI-22|KURP-22|OSSM-21|STOI-22|KULY-22|OSLO-22|NARA-22|NAWI-22|WLOD-22|NASE-22|WILC-22|WIGR-22|GABA-22|GRLA-21|MAGA-22|SOLN-22|LIBE-22|ZAME-22|DWOR-22|DWGL-21
50,A,OGDY-23|SZPI-21|SWOB-21|BUNZ-21|JASN-23|OGNI-21|MARS-21|BULG-23|TACZ-21|SCIE-21|KORD-21|GORC-21
50,A,GORC-22|KORD-23|SCIE-22|TACZ-22|BULG-24|MARS-22|OGNI-22|JASN-22|SWOB-22|SZPI-25|OGDY-27
53,A,RADW-22|PILS-21|OSWI-21|INFL-21|L I-21|ORGN-22|PIAS-23|PIAR-22|P K-22|CZ I-22|SLEZ-23|WIAD-21|URSZ-21|SANT-21|STRA-21|POKR-21|NIZA-21|JARO-21|KRNY-21|KRSZ-21|KRWI-21|SIEW-21|TAKA-21|OSTA-21|SWKI-21
53,A,SWKI-22|CZII-22|CZII-23|CZ I-21|P K-23|PIAR-21|PIAS-22|ORGN-21|L I-22|INFL-22|OSWI-22|PILS-22|RADW-21
52,A,RADW-22|PILS-21|OSWI-21|INFL-23|SZII-21|OBII-21|OB I-21|DZIA-21|SLEZ-21|CZII-23|CZ I-21|P K-21|RUSA-21|R SZ-26|RUSA-23|R SZ-23|M1II-21
52,A,M1II-22|R SZ-22|RUSA-22|P K-22|CZ I-22|DZIA-22|OB I-22|OBII-22|SZII-22|OSPO-21|INFL-22|OSWI-22|PILS-22|RADW-21
68,A,DWGL-22|DWOR-21|ZAME-21|URWO-21|POLO-21|ARPO-21|SLKA-21|WYLO-21|ALSO-21|TROJ-21|SZLU-21|ST I-21|STNZ-21|STII-21|TULO-21|RZEP-21|BIAL-21|KOSO-23|MORS-21|PODO-21
68,A,PODO-22|MORS-22|KOSO-22|BIAL-22|RZEP-22|TULO-22|STII-22|STNZ-22|ST I-22|SZLU-22|TROJ-22|OPW-21|ALSO-23|WYLO-22|KSMI-21|SLKA-22|URBA-21|PRNZ-22|POLO-22|LIBE-22|ZAME-22|DWOR-22|DWGL-21
88,A,SODW-22|SZLI-22|SZYM-22|OSZY-22|OM I-21|OMII-21|WIET-21|DESZ-21|SZKL-21|MOCM-21|MOKO-21|MORA-24|MOKO-24|JSNZ-21|LUGO-21|RADO-21|MORA-23
88,A,RADO-22|RA I-21|LUGO-23|JSNZ-22|MOKO-23|MORA-22|MOKO-22|MOCM-22|SZKL-22|DESZ-22|WIET-22|OM I-22|OSZY-21|SZYI-21|SZLI-21|SODW-23
89,A,STDW-22|SWAK-21|SWAC-21|PINC-21|ROMI-22|RAKA-21|GARA-21|RAKA-22|ROMI-21|DEKA-21|ZAKL-21|MARL-22|TOMA-22|STAS-22|TARN-21|STWI-23|TARN-22|CZER-22|STAW-22|DZIE-22|ZEGL-22|SWAN-22|STDW-21
82,A,GORC-22|KORD-22|PALA-22|ARCI-22|PROM-22|GROC-24|MARC-24|BRZA-22|SZPI-24|OGDY-21|ZERO-21|NIES-21|WOPO-22|UP-22|SLAS-22|SOCH-21|OSSL-21|SLKA-25|SLKA-24|OZIM-22|OPRZ-22|OPL-21|ROSO-21|OKOS-21|OWW-21
82,A,OWW-22|OKOS-22|ROSO-22|OPL-22|OPRZ-21|OZIM-21|SLKA-23|OSSL-22|SLAS-21|UP-21|WOPO-24|NIES-22|ZERO-22|OGDY-22|SZPI-23|BRZA-21|MARC-23|GROC-23|PROM-21|ARCI-21|PALA-21|KORD-21|GORC-21
83,A,SRDW-22|ROSR-22|KATE-22|MAGA-21|GABA-21|WIGR-21|WILC-21|NASE-24|ROSO-24|POLA-22|OSZW-22|ALSO-21|WRZO-22|DOZD-21|SMSW-21|LU I-21|LUII-21|SZKA-21|TRUS-21|DRUS-21|DUKI-22|TULO-21|RZEP-21|BIAL-21|SZSZ-21
83,A,SZSZ-22|BIAL-22|RZEP-22|TULO-22|DUKI-21|DRUS-22|TRUS-22|SZKA-22|LUII-22|LU I-22|SMSW-22|DOZD-22|WRZO-21|OPW-21|ALSO-23|OSZW-21|POLA-23|ROSO-23|NASE-22|WILC-22|WIGR-22|GABA-22|GRLA-21|MAGA-23|KATE-21|ROSR-24|SRDW-21
80,A,GORC-22|BOJA-21|GOST-21|WYKO-21|FABI-21|CEDZ-21|WOLO-21|RUDN-22|RUDN-21|WOLO-22|TRZE-21|SYCO-21|AUCH-21
80,A,AUCH-22|SYCO-22|TRZE-22|WOLO-23|RUDN-24|RUDN-23|WOLO-24|KOWA-22|CEDZ-22|FABI-22|WYKO-22|GOST-22|BOJA-22|GORC-21
81,A,RADW-22|PILS-21|OSWI-21|INFL-21|L I-21|ORGN-22|PIAS-21|KURL-22|OSZO-22|R SZ-23|M1 I-23
81,A,M1 I-24|R SZ-22|OSZO-21|KURL-21|PIAS-24|OCZ-21|L II-21|L I-23|INFL-22|OSWI-22|PILS-22|RADW-21
86,A,OGDY-25|OGDY-22|PONZ-21|BUZA-21|PLOT-21|PILO-21|TATR-21|KOLO-21|SMOC-21|LUPO-21|BRAN-21|CZKA-21|MIED-21|KRZY-21|SLUP-21|STOB-21|SZRE-21|CHKA-21|PSAR-21|CAMP-21|KIDW-21|KIKO-21|ADMI-21|KIEK-21
86,A,KIEK-22|ADMI-22|WIMO-21|KIKO-22|KIDW-22|CAMP-22|PSAR-22|CHKA-22|SZRE-22|STOB-22|SLUP-22|KRZY-22|MIED-22|CZKA-22|BRAN-22|LUPO-22|SMOC-22|KOLO-22|TATR-22|PILO-22|PLOT-22|BUZA-22|OGDY-27
87,A,PIAT-24|PIAT-21|WLOA-21|SUSZ-21|WOKI-22|KURP-22|OSSM-21|STOI-23|STRU-21|OSBI-21|OSBA-23|INFI-21|ORP-21|ORP-23
87,A,ORP-24|ORP-22|INFI-22|OSBA-24|OSBI-22|STRU-22|STOI-21|KURP-21|WOKI-21|SUSZ-22|WLOA-22|PIAT-25
